id,x,y,Floor,Occupancy,type,area,vid
146016,91.80557201,22.33436481,3,RES1,MSF2,15.6233,482
146017,91.80564187,22.33437187,1,RES1,MSF1,22.2792,482
146018,91.80570814,22.33436955,4,RES1,CERBM,10.3624,482
146019,91.80557598,22.33442604,1,RES1,MSF1,11.5182,482
146020,91.80563122,22.33443073,1,RES1,MSF1,31.0872,482
146021,91.80568864,22.33443558,1,COM1,MLRM1,21.336,482
146022,91.80560676,22.33452013,1,COM1,MLRM1,60.8831,482
146023,91.80566793,22.33452372,1,RES1,MSF1,35.7879,482
146024,91.8057136,22.3345582,1,RES1,MSF1,142.1481,482
146025,91.80573888,22.3357422,1,RES1,MSF1,49.466,482
146026,91.80573997,22.33563796,1,COM1,MLRM1,227.16,482
151462,91.82684834,22.32654248,1,RES2,MHPHUD,22.2065,550
151463,91.82679876,22.32662322,1,RES2,MHPHUD,23.4819,550
151464,91.82664537,22.3265873,1,RES2,MHPHUD,37.2165,550
151465,91.82667681,22.3267644,1,RES2,MHPHUD,27.0871,550
151466,91.8265478,22.32675146,1,RES2,MHPHUD,19.0662,550
151467,91.82684611,22.32676709,1,RES2,MHPHUD,8.8243,550
151468,91.82683527,22.32684223,1,RES2,MHPHUD,9.4546,550
151469,91.82669133,22.32683126,1,RES2,MHPHUD,35.5689,550
151470,91.82655118,22.32682262,1,RES2,MHPHUD,16.203,550
151471,91.82661752,22.32690138,1,RES2,MHPHUD,15.0908,550
151472,91.82682463,22.32691706,1,RES2,MHPHUD,30.4062,550
151473,91.82670319,22.32698153,1,RES2,MHPHUD,53.3455,550
151474,91.82661691,22.3269775,1,RES2,MHPHUD,78.9661,550
151475,91.82652866,22.32697107,1,RES2,MHPHUD,84.3935,550
151476,91.82632718,22.32650679,1,RES2,MHPHUD,49.0632,550
151477,91.82615312,22.32646467,1,RES2,MHPHUD,45.0027,550
151478,91.82614766,22.32653827,1,RES2,MHPHUD,19.56,550
151479,91.8260714,22.32650995,1,RES2,MHPHUD,26.2355,550
151480,91.8259618,22.32647764,1,RES2,MHPHUD,27.9955,550
151481,91.82583806,22.32647229,1,RES2,MHPHUD,25.7304,550
151482,91.82574777,22.32647615,1,RES2,MHPHUD,85.9526,550
151483,91.8256716,22.32651203,1,RES2,MHPHUD,21.3935,550
151484,91.82557481,22.32652621,1,RES2,MHPHUD,22.9251,550
151485,91.82550325,22.32641539,1,RES2,MHPHUD,51.5399,550
151486,91.82568693,22.32626796,1,RES2,MHPHUD,35.8442,550
151487,91.82532495,22.32632441,1,RES2,MHPHUD,38.773,549
151488,91.82536346,22.32641437,1,COM10,MHPHUD,38.1488,549
151489,91.82523794,22.32645943,1,RES2,MHPHUD,49.1963,549
151490,91.82523737,22.32638524,1,RES2,MHPHUD,37.7674,549
151491,91.82492423,22.32631405,1,RES2,MHPHUD,103.5381,549
151492,91.82498572,22.32630579,1,RES2,MHPHUD,79.5286,549
151493,91.82508434,22.32636024,1,RES2,MHPHUD,44.6233,549
151494,91.82487946,22.32646076,1,RES2,MHPHUD,31.6462,549
151495,91.8249539,22.32656258,1,RES2,MHPHUD,81.6098,549
151496,91.82509629,22.32654243,1,RES1,MSF1,34.1845,549
151497,91.82501614,22.32666119,1,RES1,MSF1,33.8438,549
151498,91.82536257,22.32659654,1,RES1,MSF1,19.7789,549
151499,91.82545593,22.32659205,1,RES1,MSF1,20.0426,549
151500,91.82565438,22.32660567,1,RES1,MSF1,70.6663,550
151501,91.82565638,22.32666438,1,RES1,MSF1,162.3794,550
151502,91.8255251,22.32669084,1,RES1,MSF1,77.4147,549
